fecha,ciudad,categoria,producto,cantidad,precio_unitario,total_venta
2025-06-24,Barranquilla,Hogar,Mesa,5,42617,213085
2025-02-09,Cali,Tecnología,Audífonos,18,220921,3976578
2025-09-27,Medellín,Ropa,Gorra,5,158564,792820
2025-07-12,Bogotá,Hogar,Mesa,20,214085,4281700
2025-03-26,Barranquilla,Tecnología,Memoria USB,12,179304,2151648
2025-05-02,Barranquilla,Papelería,Marcador,15,63342,950130
2025-10-01,Bogotá,Ropa,Chaqueta,7,98427,688989
2025-12-14,Apartadó,Alimentos,Azúcar,10,205980,2059800
2025-07-15,Apartadó,Papelería,Carpeta,6,216143,1296858
2025-04-13,Apartadó,Hogar,Lámpara,2,170081,340162
2025-09-04,Cali,Papelería,Cuaderno,17,225128,3827176
2025-03-05,Cali,Tecnología,Teclado,9,119786,1078074
2025-09-20,Bogotá,Alimentos,Arroz,8,216093,1728744
2025-08-19,Cali,Tecnología,Memoria USB,2,105928,211856
2025-09-15,Cali,Hogar,Ventilador,3,100281,300843
2025-04-25,Medellín,Ropa,Camisa,11,209455,2304005
2025-03-16,Bogotá,Tecnología,Monitor,16,184471,2951536
2025-03-13,Barranquilla,Alimentos,Leche,1,239465,239465
2025-02-10,Medellín,Ropa,Pantalón,5,145865,729325
2025-11-08,Apartadó,Alimentos,Arroz,10,64295,642950
2025-06-04,Medellín,Tecnología,Teclado,14,169497,2372958
2025-11-15,Barranquilla,Tecnología,Mouse,16,158431,2534896
2025-10-02,Medellín,Papelería,Resma,8,190362,1522896
2025-03-15,Cali,Alimentos,Arroz,20,94488,1889760
2025-05-04,Apartadó,Alimentos,Aceite,3,139228,417684
2025-07-04,Medellín,Papelería,Resma,17,208153,3538601
2025-09-17,Apartadó,Tecnología,Memoria USB,16,13412,214592
2025-11-22,Barranquilla,Ropa,Zapatos,1,95610,95610
2025-02-04,Cali,Hogar,Silla,19,194724,3699756
2025-06-20,Bogotá,Tecnología,Monitor,18,90748,1633464
2025-11-26,Bogotá,Alimentos,Azúcar,6,214729,1288374
2025-03-11,Medellín,Alimentos,Arroz,10,54845,548450
2025-01-23,Bogotá,Tecnología,Monitor,10,137104,1371040
2025-07-23,Apartadó,Alimentos,Café,2,199470,398940
2025-11-28,Bogotá,Ropa,Zapatos,2,228963,457926
2025-12-02,Cali,Ropa,Camisa,12,116544,1398528
2025-07-24,Barranquilla,Alimentos,Café,6,132076,792456
2025-12-21,Barranquilla,Ropa,Gorra,9,212016,1908144
2025-02-12,Barranquilla,Tecnología,Memoria USB,20,217571,4351420
2025-04-03,Apartadó,Ropa,Zapatos,4,22989,91956
2025-06-17,Cali,Ropa,Chaqueta,20,190131,3802620
2025-08-07,Bogotá,Alimentos,Café,15,13103,196545
2025-06-30,Apartadó,Alimentos,Café,2,21671,43342
2025-12-10,Barranquilla,Ropa,Gorra,6,10163,60978
2025-03-15,Apartadó,Alimentos,Arroz,5,19624,98120
2025-05-01,Cali,Ropa,Chaqueta,19,10489,199291
2025-11-06,Bogotá,Alimentos,Café,12,118376,1420512
2025-02-09,Apartadó,Hogar,Organizador,12,106342,1276104
2025-06-10,Cali,Hogar,Silla,1,194852,194852
2025-04-06,Barranquilla,Papelería,Carpeta,18,32870,591660
2025-05-15,Cali,Alimentos,Aceite,20,76862,1537240
2025-12-22,Barranquilla,Hogar,Silla,5,225563,1127815
2025-02-07,Barranquilla,Hogar,Ventilador,3,214471,643413
2025-12-16,Cali,Ropa,Camisa,18,144126,2594268
2025-05-29,Cali,Hogar,Mesa,12,135367,1624404
2025-04-25,Medellín,Hogar,Mesa,8,209191,1673528
2025-09-10,Medellín,Ropa,Gorra,19,98707,1875433
2025-08-28,Apartadó,Hogar,Organizador,3,19235,57705
2025-06-08,Barranquilla,Alimentos,Leche,14,203631,2850834
2025-07-29,Apartadó,Tecnología,Teclado,11,170385,1874235
2025-02-07,Barranquilla,Alimentos,Leche,12,35642,427704
2025-10-10,Apartadó,Hogar,Mesa,14,133822,1873508
2025-01-29,Medellín,Papelería,Lapicero,10,45163,451630
2025-03-24,Cali,Hogar,Lámpara,17,236599,4022183
2025-05-26,Medellín,Ropa,Pantalón,18,73945,1331010
2025-03-06,Cali,Papelería,Resma,3,133746,401238
2025-11-25,Bogotá,Papelería,Resma,5,46879,234395
2025-12-04,Apartadó,Papelería,Marcador,19,12798,243162
2025-01-15,Medellín,Tecnología,Audífonos,9,172689,1554201
2025-04-18,Apartadó,Alimentos,Leche,1,132557,132557
2025-11-18,Apartadó,Ropa,Zapatos,16,66193,1059088
2025-12-17,Barranquilla,Ropa,Chaqueta,3,182515,547545
2025-01-31,Bogotá,Alimentos,Azúcar,16,123750,1980000
2025-04-15,Cali,Papelería,Lapicero,11,227833,2506163
2025-06-13,Cali,Alimentos,Aceite,12,136998,1643976
2025-10-15,Medellín,Ropa,Pantalón,15,34118,511770
2025-05-17,Barranquilla,Hogar,Mesa,4,15265,61060
2025-05-29,Barranquilla,Papelería,Carpeta,8,228835,1830680
2025-03-23,Cali,Papelería,Marcador,7,202047,1414329
2025-03-23,Barranquilla,Papelería,Carpeta,16,232444,3719104
2025-06-07,Barranquilla,Tecnología,Mouse,13,134499,1748487
2025-08-23,Bogotá,Hogar,Organizador,12,14755,177060
2025-01-26,Cali,Alimentos,Leche,16,76907,1230512
2025-10-02,Medellín,Tecnología,Memoria USB,5,233330,1166650
2025-05-16,Cali,Alimentos,Café,2,107010,214020
2025-01-27,Apartadó,Papelería,Lapicero,12,147024,1764288
2025-05-28,Medellín,Alimentos,Leche,15,202383,3035745
2025-10-09,Cali,Papelería,Resma,4,35728,142912
2025-02-19,Barranquilla,Ropa,Zapatos,18,248139,4466502
2025-07-07,Bogotá,Hogar,Organizador,17,107221,1822757
2025-09-14,Medellín,Tecnología,Mouse,5,189063,945315
2025-06-20,Barranquilla,Papelería,Carpeta,5,160927,804635
2025-09-21,Bogotá,Ropa,Gorra,11,44598,490578
2025-07-21,Apartadó,Ropa,Gorra,11,134989,1484879
2025-09-18,Apartadó,Alimentos,Leche,10,126490,1264900
2025-01-09,Cali,Ropa,Camisa,14,155014,2170196
2025-06-07,Medellín,Papelería,Carpeta,9,173859,1564731
2025-10-24,Apartadó,Hogar,Silla,19,127946,2430974
2025-03-29,Apartadó,Papelería,Carpeta,5,217393,1086965
2025-12-15,Bogotá,Tecnología,Audífonos,4,52012,208048
2025-01-10,Barranquilla,Ropa,Chaqueta,5,110255,551275
2025-12-20,Bogotá,Alimentos,Leche,20,243309,4866180
2025-08-30,Medellín,Hogar,Organizador,7,149033,1043231
2025-06-16,Barranquilla,Papelería,Carpeta,11,47398,521378
2025-08-24,Apartadó,Ropa,Gorra,12,179174,2150088
2025-12-15,Cali,Papelería,Carpeta,7,66623,466361
2025-05-23,Apartadó,Ropa,Pantalón,10,204158,2041580
2025-05-28,Bogotá,Alimentos,Café,16,93436,1494976
2025-10-14,Cali,Ropa,Camisa,19,179372,3408068
2025-10-06,Barranquilla,Alimentos,Café,5,78140,390700
2025-01-22,Cali,Tecnología,Monitor,15,173959,2609385
2025-05-12,Barranquilla,Hogar,Mesa,18,73075,1315350
2025-10-15,Cali,Hogar,Silla,20,196220,3924400
2025-10-28,Bogotá,Hogar,Silla,17,61158,1039686
2025-11-23,Bogotá,Tecnología,Mouse,14,88584,1240176
2025-08-30,Medellín,Hogar,Silla,18,245557,4420026
2025-03-22,Barranquilla,Alimentos,Azúcar,7,200157,1401099
2025-05-28,Cali,Ropa,Camisa,3,172996,518988
2025-10-21,Bogotá,Papelería,Cuaderno,6,111546,669276
2025-04-01,Medellín,Alimentos,Azúcar,6,247526,1485156
2025-05-29,Medellín,Tecnología,Monitor,19,160015,3040285
2025-02-24,Cali,Ropa,Chaqueta,18,139446,2510028
2025-09-10,Bogotá,Papelería,Carpeta,9,52544,472896
2025-02-27,Cali,Hogar,Ventilador,9,190376,1713384
2025-04-06,Medellín,Ropa,Zapatos,19,178790,3397010
2025-04-09,Bogotá,Papelería,Carpeta,14,137077,1919078
2025-06-17,Medellín,Alimentos,Arroz,6,38860,233160
2025-09-02,Cali,Hogar,Silla,9,102551,922959
2025-05-01,Barranquilla,Ropa,Zapatos,10,154688,1546880
2025-10-21,Medellín,Ropa,Zapatos,8,18285,146280
2025-12-08,Medellín,Alimentos,Café,6,108277,649662
2025-12-18,Apartadó,Ropa,Camisa,10,98349,983490
2025-11-11,Bogotá,Hogar,Mesa,16,42156,674496
2025-08-21,Apartadó,Ropa,Chaqueta,18,241284,4343112
2025-08-30,Apartadó,Hogar,Mesa,20,230887,4617740
2025-02-11,Apartadó,Alimentos,Leche,12,22474,269688
2025-10-16,Medellín,Tecnología,Audífonos,17,54994,934898
2025-10-21,Apartadó,Hogar,Mesa,11,225998,2485978
2025-09-24,Barranquilla,Tecnología,Teclado,19,130143,2472717
2025-02-16,Apartadó,Alimentos,Arroz,15,36588,548820
2025-09-20,Barranquilla,Alimentos,Leche,2,148485,296970
2025-08-25,Cali,Tecnología,Memoria USB,9,216028,1944252
2025-01-02,Bogotá,Papelería,Cuaderno,2,113069,226138
2025-06-26,Medellín,Papelería,Cuaderno,3,246783,740349
2025-08-30,Medellín,Ropa,Chaqueta,6,203581,1221486
